arm,seed,auc,r_task,r_geo,rho,orth_err,recon_err,status
baseline_ppo,0,6.468694921088812,0.1888382065015251,0.5387519277841163,,,0.0,ok
so_expm,0,8.801884045656061,0.14927651753457025,0.8923004203623781,1.0000008344650269,2.143579993285627e-06,0.0,ok
so_cayley,0,8.247083570903486,0.14221708146834475,0.8320212921328223,1.0000007152557373,2.1601486133171477e-07,0.0,ok
baseline_ppo,1,6.414925951869051,0.17890876808510978,0.5474137968316984,,,8.881784197001252e-16,ok
so_expm,1,8.50207147352602,0.14746249236952594,0.8571338028396791,1.0000009536743164,1.3455163907494239e-06,1.7763568394002505e-15,ok
so_cayley,1,8.34474740705632,0.15033643803820024,0.8327307199507331,1.0000007152557373,1.8676783097859584e-07,0.0,ok
baseline_ppo,2,6.481804715438096,0.18803803511972347,0.5420253044457174,,,8.881784197001252e-16,ok
so_expm,2,8.495980419333135,0.14716708351625557,0.8570267513157801,1.0000009536743164,1.460328467262073e-06,0.0,ok
so_cayley,2,8.372033230678847,0.14806304538907655,0.8397841887271031,1.0000007152557373,2.7555335979645434e-07,0.0,ok
baseline_ppo,3,6.503395465237937,0.18732089477923466,0.545852695877136,,,0.0,ok
so_expm,3,8.482135154322703,0.15851171304932424,0.8379569599770942,1.0000008940696716,9.343823861307499e-07,0.0,ok
so_cayley,3,8.222843009565397,0.14308372659977517,0.8282786393762877,1.0000007152557373,3.0079573032359974e-07,0.0,ok
baseline_ppo,4,6.658981081208576,0.1907717880093884,0.5599834830638332,,,8.881784197001252e-16,ok
so_expm,4,8.890901023098523,0.16530894888930878,0.8792396494646867,1.0000009536743164,1.394476914384768e-06,0.0,ok
so_cayley,4,8.45890717726064,0.1630119382764491,0.8283625107790034,1.0000007152557373,2.5507307355177034e-07,0.0,ok
baseline_ppo,5,6.674923849939847,0.19191242380989923,0.5601332676424334,,,0.0,ok
so_expm,5,8.605070818353107,0.15769487695681375,0.8545766127337391,1.0000008344650269,1.2645317652992816e-06,0.0,ok
so_cayley,5,8.399914350984881,0.16316363874388434,0.8205343845777834,1.0000007152557373,2.411335252583413e-07,0.0,ok
baseline_ppo,6,6.49116823806936,0.1743520928696093,0.563612123193716,,,0.0,ok
so_expm,6,8.704917402439303,0.14905002795980934,0.8805058782765641,1.0000009536743164,2.2116100624192114e-06,0.0,ok
so_cayley,6,8.354197994667757,0.14239002953715088,0.8458494159787271,1.0000007152557373,2.3096552137502613e-07,0.0,ok
baseline_ppo,7,6.436954608204192,0.18192012962026818,0.5452376041238196,,,0.0,ok
so_expm,7,8.349938166251766,0.14568503718743997,0.8409084867909395,1.0000009536743164,1.632677053997611e-06,0.0,ok
so_cayley,7,8.494384368566918,0.1513337271668124,0.8499514890160101,1.0000006556510925,2.6858182144984255e-07,1.7763568394002505e-15,ok
baseline_ppo,8,6.540013775730275,0.19677781095452598,0.5357911716757031,,,0.0,ok
so_expm,8,9.014900698889427,0.17150935304776235,0.8858850026334015,1.0000008344650269,1.479963694928088e-06,0.0,ok
