seed,split,arm,prompt_idx,eval_seed,reward,status
0,test,structured,0,0,0.6256998887331066,ok
0,test,control,0,0,0.6226006815346177,ok
0,test,structured,1,0,0.5873885078393751,ok
0,test,control,1,0,0.5802188319573411,ok
0,test,structured,2,0,0.5907631531900048,ok
0,test,control,2,0,0.608082008069659,ok
0,test,structured,3,0,0.6258954197420737,ok
0,test,control,3,0,0.5960038554255803,ok
0,test,structured,4,0,0.6186976568163033,ok
0,test,control,4,0,0.5820521501578049,ok
0,test,structured,5,0,0.5842235478113126,ok
0,test,control,5,0,0.591141056030875,ok
0,test,structured,6,0,0.6041660730230153,ok
0,test,control,6,0,0.581076341947717,ok
0,test,structured,7,0,0.6214590445631054,ok
0,test,control,7,0,0.5930422567110242,ok
0,test,structured,8,0,0.5649282634502959,ok
0,test,control,8,0,0.6049866038379927,ok
0,test,structured,9,0,0.6055457847421909,ok
0,test,control,9,0,0.6033736970171012,ok
0,test,structured,10,0,0.594999004694632,ok
0,test,control,10,0,0.6076507652216011,ok
0,test,structured,11,0,0.6101545513416972,ok
0,test,control,11,0,0.6246831670091513,ok
0,test,structured,0,1,0.6135973335481594,ok
0,test,control,0,1,0.6057077649044291,ok
0,test,structured,1,1,0.5826857586089241,ok
0,test,control,1,1,0.5801361123260775,ok
0,test,structured,2,1,0.6287210110518717,ok
0,test,control,2,1,0.6252140435523879,ok
0,test,structured,3,1,0.6206780451276275,ok
0,test,control,3,1,0.6175621554379531,ok
0,test,structured,4,1,0.5942096502505937,ok
0,test,control,4,1,0.5929266068733163,ok
0,test,structured,5,1,0.6017970151194156,ok
0,test,control,5,1,0.602157583834894,ok
0,test,structured,6,1,0.6069312020654956,ok
0,test,control,6,1,0.5800773847021882,ok
0,test,structured,7,1,0.5864906278214065,ok
0,test,control,7,1,0.5933479987700176,ok
0,test,structured,8,1,0.6230768452002594,ok
0,test,control,8,1,0.6130518996837231,ok
0,test,structured,9,1,0.5900688242705269,ok
0,test,control,9,1,0.5761934351625952,ok
0,test,structured,10,1,0.5756739427646931,ok
0,test,control,10,1,0.5919945488321112,ok
0,test,structured,11,1,0.5981887158176342,ok
0,test,control,11,1,0.5957819674991026,ok
0,test,structured,0,2,0.5852019048064202,ok
0,test,control,0,2,0.6090878696177593,ok
0,test,structured,1,2,0.5930897784347173,ok
0,test,control,1,2,0.61188150377943,ok
0,test,structured,2,2,0.6141688188588039,ok
0,test,control,2,2,0.5982940306048306,ok
0,test,structured,3,2,0.6040559350936274,ok
0,test,control,3,2,0.5946955127386563,ok
0,test,structured,4,2,0.6291780536533782,ok
0,test,control,4,2,0.6051366645168255,ok
0,test,structured,5,2,0.5987707182684529,ok
0,test,control,5,2,0.6020961959092144,ok
0,test,structured,6,2,0.6022289102063348,ok
0,test,control,6,2,0.618751177488061,ok
0,test,structured,7,2,0.5884095044189842,ok
0,test,control,7,2,0.60897607810783,ok
0,test,structured,8,2,0.6158977973545252,ok
0,test,control,8,2,0.6133879389531737,ok
0,test,structured,9,2,0.6060407428837005,ok
0,test,control,9,2,0.5821635749663286,ok
