arm,seed,auc,auc_task,auc_geo,r_task,r_geo,rho,recon_err,status
baseline_ppo,0,5.932180644782288,2.168964450108164,3.7632161946741243,0.1833227309601626,0.47837768290371946,,8.881784197001252e-16,ok
so,0,9.539086010276607,2.138602202780471,7.400483807496138,0.18120153185805526,0.9379297240408526,1.0000009536743164,0.0,ok
sl,0,8.77577328255322,1.8530237557179856,6.922749526835235,0.15730233685900918,0.8782517732806192,3.7886584997177124,1.7763568394002505e-15,ok
gl,0,8.848449655168686,1.9046100755674753,6.943839579601213,0.16162490383337372,0.8808274318082568,4.072309494018555,1.7763568394002505e-15,ok
sym,0,6.566046112788,1.9256769508795473,4.640369161908453,0.16266852462672868,0.5892436967298077,67605.59765625,0.0,ok
baseline_ppo,1,5.947230722964602,2.1388787726294725,3.80835195033513,0.1813143586909886,0.4839633698783426,,0.0,ok
so,1,9.478726372928273,2.0064544926265637,7.47227188030171,0.17032320488186306,0.9459962756575085,1.000001072883606,0.0,ok
sl,1,9.244984265094796,2.0911484737816446,7.153835791313153,0.17742648985482107,0.9055799074437467,2.6624306440353394,0.0,ok
gl,1,9.224464686689593,2.0710308848468646,7.153433801842728,0.1758659971772326,0.9055648620160918,2.6574389934539795,1.7763568394002505e-15,ok
sym,1,6.056728052251615,1.582149027590283,4.474579024661332,0.13415389492937457,0.5678214853183832,6595665.25,0.0,ok
baseline_ppo,2,5.950938987231696,2.2251467068806985,3.7257922803509986,0.18834855998455924,0.47369493958939957,,0.0,ok
so,2,9.645787154964637,2.2067072876350013,7.439079867329635,0.18711531560442818,0.9422673264037661,1.0000008344650269,0.0,ok
sl,2,9.509989580394391,2.2941014979902024,7.215888082404188,0.19442378709141384,0.9141250942124054,4.048902988433838,0.0,ok
gl,2,9.490201214467142,2.29020544170175,7.199995772765392,0.19415410587793192,0.9121266276488235,3.9856361150741577,0.0,ok
sym,2,6.0422129841026,1.839488783334079,4.20272420076852,0.155475756526031,0.533394423774366,7662555.5,0.0,ok
baseline_ppo,3,5.8598903505883015,2.0461990429069976,3.813691307681302,0.17311970412252187,0.48480064999317596,,8.881784197001252e-16,ok
so,3,9.495991388394856,2.0439121928432806,7.452079195551574,0.17329636096901735,0.9448136361463616,1.0000010132789612,0.0,ok
sl,3,9.151636790200705,1.9875306904078853,7.164106099792818,0.16870302688170769,0.9085234840056547,2.79818058013916,1.7763568394002505e-15,ok
gl,3,9.42007250442622,2.183390344891253,7.236682159534967,0.18518856490193297,0.9176442009120869,3.0673550367355347,0.0,ok
sym,3,6.6409997048586815,1.7630429221907205,4.877956782667959,0.1494868969611129,0.6199722990374703,2614.3753662109375,0.0,ok
baseline_ppo,4,6.030256967956595,2.2851808015269772,3.745076166429619,0.19311111674347833,0.47606181292263017,,1.7763568394002505e-15,ok
so,4,9.591686945420843,2.142011563785153,7.449675381635689,0.18134531430243606,0.9434503890643673,1.0000009536743164,0.0,ok
sl,4,9.169267482208495,2.046014476925543,7.123253005282952,0.17322080204562001,0.9023711770207622,4.400302410125732,0.0,ok
gl,4,9.109102084094324,1.978639336350102,7.130462747744224,0.1676625724661835,0.9033349729187787,4.02449095249176,1.7763568394002505e-15,ok
sym,4,6.268442913445493,1.7134912514779443,4.554951661967548,0.14538873355478443,0.578246421216405,24717.70703125,0.0,ok
baseline_ppo,5,5.994516920457911,2.2200147100004113,3.7745022104574986,0.18799676980733965,0.4797149669104876,,0.0,ok
so,5,9.62104938728403,2.190311133645635,7.430738253638397,0.18554646684359205,0.9406442515286927,1.0000008344650269,0.0,ok
sl,5,9.365092587351398,2.2978279075566417,7.067264679794759,0.19459457700191699,0.8956123718026405,3.44694447517395,0.0,ok
gl,5,9.111247156715455,2.1306458499069647,6.980601306808492,0.1806560858901711,0.8847256279166785,5.053946256637573,1.7763568394002505e-15,ok
sym,5,6.437622108533734,1.9112878156243551,4.52633429290938,0.16192807101386697,0.5750410894673318,57887.41015625,0.0,ok
baseline_ppo,6,5.861800794706648,2.04039272117624,3.821408073530408,0.1729423922620681,0.4856277912384675,,8.881784197001252e-16,ok
so,6,9.410453338295442,2.003216686651457,7.407236651643987,0.1699366951155858,0.9380834081555098,1.0000009536743164,0.0,ok
sl,6,9.367010830546276,2.1434690244906696,7.223541806055606,0.18173322115085366,0.9145113804036131,3.0042320489883423,0.0,ok
gl,6,9.219765680954085,2.0202660423335708,7.199499638620517,0.1712915682288663,0.9114380243213225,3.140714645385742,0.0,ok
sym,6,5.988587159509033,1.6126771014388115,4.375910058070222,0.13623484465722463,0.555187317518952,10316249.5,0.0,ok
baseline_ppo,7,5.9358307501662555,2.1396617450512343,3.7961690051150203,0.18094732790173848,0.48250857594246815,,0.0,ok
so,7,9.348958671973747,1.9852899330890204,7.363668738884727,0.16836398544518846,0.9322942498760919,1.0000008344650269,0.0,ok
sl,7,9.211753036570732,2.0370716502693136,7.174681386301417,0.17260249419909143,0.9080612175793696,2.4120112657546997,0.0,ok
gl,7,9.307819408966303,2.1370399719498523,7.1707794370164475,0.1810805506335111,0.9075705726397534,2.3919233083724976,0.0,ok
sym,7,6.141555491684017,1.5283185823194807,4.613236909364536,0.12947513897460453,0.5851846121878983,58372.451171875,0.0,ok
baseline_ppo,8,6.125178534135637,2.405721704310935,3.719456829824702,0.20344129519975854,0.4727841016849503,,0.0,ok
so,8,9.521636222358467,2.090920606311706,7.430715616046762,0.17705454505943496,0.9410686961445648,1.0000009536743164,0.0,ok
sl,8,9.569823318829654,2.2643731562554383,7.305450162574215,0.19166414687955538,0.9252078124616451,3.3249237537384033,1.7763568394002505e-15,ok
gl,8,9.655310812464924,2.3268547539483846,7.32845605851654,0.19681228485407068,0.9280454699939583,3.2753649950027466,0.0,ok
