w,arm,seed,auc,r_sent,r_geo,rho,status
0.0,baseline_ppo,0,2.8400453999533712,0.2868556111225232,0.0,,ok
0.0,so,0,2.874991150268114,0.29039355610403145,0.0,1.0000005960464478,ok
0.0,baseline_ppo,1,2.8380786325713827,0.28639404132535534,0.0,,ok
0.0,so,1,2.8084775470631405,0.2834193317537833,0.0,1.0000008344650269,ok
0.0,baseline_ppo,2,2.7935173726536897,0.28183514552522365,0.0,,ok
0.0,so,2,2.774422146689948,0.2798969877088207,0.0,1.0000007152557373,ok
0.0,baseline_ppo,3,2.8074740798092432,0.28393268493756685,0.0,,ok
0.0,so,3,2.7993899120549655,0.2831516411956857,0.0,1.0000008344650269,ok
0.0,baseline_ppo,4,2.788786679762091,0.2815779206986072,0.0,,ok
0.0,so,4,2.7902838793775557,0.28177058525644233,0.0,1.0000005960464478,ok
0.0,baseline_ppo,5,2.802894956175551,0.28321239372265083,0.0,,ok
0.0,so,5,2.781605120435671,0.2811490820189003,0.0,1.0000009536743164,ok
0.0,baseline_ppo,6,2.857713869821011,0.28898707095817444,0.0,,ok
0.0,so,6,2.814151593135401,0.2845568534742059,0.0,1.0000008344650269,ok
0.0,baseline_ppo,7,2.7784235662358263,0.2811892031022183,0.0,,ok
0.0,so,7,2.8209994010856754,0.28549154160751306,0.0,1.0000007152557373,ok
0.0,baseline_ppo,8,2.7416843964010074,0.2772337920712308,0.0,,ok
0.0,so,8,2.764088759180118,0.2794601602901385,0.0,1.0000005960464478,ok
0.0,baseline_ppo,9,2.7914793606356283,0.2823040587846567,0.0,,ok
0.0,so,9,2.7876392150868226,0.2818647398286789,0.0,1.0000005960464478,ok
0.02,baseline_ppo,0,2.8563236757888335,0.28610779895171146,0.4071767464165532,,ok
0.02,so,0,2.8270264689476585,0.282591915711241,0.43148798570691727,1.0000007152557373,ok
0.02,baseline_ppo,1,2.8296522024980377,0.2831267902214572,0.4086904832934124,,ok
0.02,so,1,2.8558031089213016,0.2843012734780027,0.4812439480422654,1.000001072883606,ok
0.02,baseline_ppo,2,2.8218747731679334,0.28221384126311433,0.4061351504880804,,ok
0.02,so,2,2.826829857529153,0.2819083239884317,0.4491429611796775,1.0000007152557373,ok
0.02,baseline_ppo,3,2.8405142710410027,0.28470094259729584,0.4126265382517886,,ok
0.02,so,3,2.849516469252271,0.284368969024685,0.4761294060766318,1.0000008344650269,ok
0.02,baseline_ppo,4,2.8352912918689372,0.2837657596602249,0.41195997046716004,,ok
0.02,so,4,2.8278797898185504,0.2823121900542056,0.44782357567878533,1.0000009536743164,ok
0.02,baseline_ppo,5,2.832872686145837,0.2837559510418298,0.4098689625989209,,ok
0.02,so,5,2.836682129330593,0.2837140028087827,0.43185797592800557,1.0000005960464478,ok
0.02,baseline_ppo,6,2.8888774242661497,0.2894539959541733,0.4257551848281764,,ok
0.02,so,6,2.863692693435445,0.2855918972544176,0.48487696368638356,1.0000014305114746,ok
0.02,baseline_ppo,7,2.872993748485351,0.288424568590159,0.4066545380180287,,ok
0.02,so,7,2.810511822667334,0.2807784735966891,0.4631165544730266,1.000001072883606,ok
0.02,baseline_ppo,8,2.782872663735233,0.278497583717719,0.4222293740290297,,ok
0.02,so,8,2.7990419785704064,0.2806009108600411,0.40059495038854037,1.0000005960464478,ok
0.02,baseline_ppo,9,2.7992977468457516,0.28043142856739856,0.414262481869082,,ok
0.02,so,9,2.869646333301913,0.28830788509193506,0.38569344808470307,1.000001311302185,ok
0.05,baseline_ppo,0,2.8763997858926467,0.2840265905906606,0.41565498225036207,,ok
0.05,so,0,2.9226785882617157,0.2867380111052669,0.45573346937326276,1.000001072883606,ok
0.05,baseline_ppo,1,2.8721565332747447,0.2832501960552586,0.4165232872635897,,ok
0.05,so,1,2.9434776849403894,0.286713028155817,0.4932660577310344,1.000001311302185,ok
0.05,baseline_ppo,2,2.8758804602258534,0.2836150482843773,0.41555816179907196,,ok
0.05,so,2,2.859939871844828,0.28102913028244486,0.43430730085451613,1.0000004768371582,ok
0.05,baseline_ppo,3,2.8413956041888038,0.28025110766876815,0.42350388095283054,,ok
0.05,so,3,2.9441198427204034,0.28805538076968723,0.48249393102620386,1.0000005960464478,ok
0.05,baseline_ppo,4,2.847891398417409,0.28047706263524297,0.42443537325825675,,ok
0.05,so,4,2.900618635975256,0.2847904676283243,0.4495181917459149,1.0000007152557373,ok
0.05,baseline_ppo,5,2.865576310612955,0.2829556638432489,0.41622945011476986,,ok
0.05,so,5,2.8710436219426407,0.2825083749964772,0.4368292729692257,1.0000009536743164,ok
0.05,baseline_ppo,6,2.9303489805113765,0.2893753870989174,0.42874476819051777,,ok
0.05,so,6,2.93262082735228,0.2879337628348738,0.46106067162709224,1.0000008344650269,ok
0.05,baseline_ppo,7,2.880003962313275,0.2846698188393532,0.42046840435059496,,ok
0.05,so,7,2.8913917277859134,0.28567915324416054,0.42615431484418875,1.0000011920928955,ok
0.05,baseline_ppo,8,2.824042967856986,0.2785646849991754,0.4194144609497016,,ok
0.05,so,8,2.8440612892364814,0.2808763870114054,0.4147733266326668,1.0000007152557373,ok
0.05,baseline_ppo,9,2.8423224108223715,0.28072746404549387,0.41538621883109955,,ok
0.05,so,9,2.8802454586770994,0.28546962499684875,0.4015477096351333,1.0000008344650269,ok
0.1,baseline_ppo,0,2.9423596348819494,0.2833094806886991,0.42337906408474735,,ok
0.1,so,0,2.9667058070626977,0.2839015348050496,0.4426519271338748,1.0000004768371582,ok
0.1,baseline_ppo,1,2.9139250880216347,0.2809971378106534,0.41287838034522795,,ok
0.1,so,1,3.053933704563751,0.2873048181960153,0.49685612006769586,1.0000009536743164,ok
0.1,baseline_ppo,2,2.941082653361023,0.28421051885791215,0.4109886092090164,,ok
0.1,so,2,2.9265718292840988,0.2777803255642762,0.45526737114550997,1.0000009536743164,ok
0.1,baseline_ppo,3,2.9429032936874675,0.284610270079533,0.41517079296281734,,ok
0.1,so,3,3.0111848653869133,0.28563964703654554,0.47541790652339844,1.000001311302185,ok
0.1,baseline_ppo,4,2.9053121435806033,0.27908863797702643,0.42373232880172507,,ok
0.1,so,4,2.941612482868973,0.28098347497644416,0.44407684783154766,1.0000008344650269,ok
0.1,baseline_ppo,5,2.9180159421998106,0.28100917092590794,0.4205105715733225,,ok
0.1,so,5,2.899746753125245,0.27622970132827435,0.4458364422270279,1.0000008344650269,ok
0.1,baseline_ppo,6,2.981694375191853,0.2871562091381209,0.4313597196197406,,ok
0.1,so,6,3.010117935961616,0.2865233619153885,0.4659789396017914,1.0000008344650269,ok
0.1,baseline_ppo,7,2.945046074062471,0.2838015818742463,0.4263532586681322,,ok
0.1,so,7,2.927538396849787,0.2815069605159409,0.4289134029816978,1.0000005960464478,ok
0.1,baseline_ppo,8,2.894174394984926,0.277732850825807,0.42757320551372685,,ok
0.1,so,8,2.899295704820809,0.2792171533142683,0.41891012795581445,1.0000005960464478,ok
0.1,baseline_ppo,9,2.908361371601725,0.28034792408988274,0.41864023919260945,,ok
0.1,so,9,2.916255034525672,0.2825859812136418,0.40622073026011096,1.0000007152557373,ok
0.2,baseline_ppo,0,3.0846682353048527,0.27919698620208216,0.44206058598365416,,ok
0.2,so,0,3.113242497753905,0.2820999758892911,0.4452627109131754,1.0000008344650269,ok
0.2,baseline_ppo,1,3.067975690916086,0.2819096457393139,0.42198822496629873,,ok
0.2,so,1,3.2109686134166067,0.2832067851942961,0.4891100674201425,1.0000007152557373,ok
0.2,baseline_ppo,2,3.079941470937048,0.27760000331411405,0.4453133766672181,,ok
0.2,so,2,3.1148938428985775,0.2811686156944456,0.44836443484118715,1.0000008344650269,ok
0.2,baseline_ppo,3,3.082889658998306,0.2810634062535558,0.43522749831763574,,ok
0.2,so,3,3.2087714518396453,0.2837229161396993,0.48814521952988343,1.0000008344650269,ok
0.2,baseline_ppo,4,3.053086529372746,0.2773917349312861,0.4337062675530433,,ok
0.2,so,4,3.0988559925284216,0.2793669187623046,0.448858892501039,1.0000005960464478,ok
0.2,baseline_ppo,5,3.059888943872852,0.280291504297865,0.42567880791229984,,ok
0.2,so,5,3.0903231766079733,0.27596267930523866,0.4590962769894304,1.0000009536743164,ok
