w,arm,seed,auc,r_sent,r_geo,align,rho,status
0.05,baseline_ppo,0,2.8763997858926467,0.2840265905906606,0.41565498225036207,,,ok
0.05,so,0,3.1731745832681235,0.28533711822201874,0.987469629836778,0.9966940879821777,1.0000008344650269,ok
0.05,baseline_ppo,1,2.8721565332747447,0.2832501960552586,0.4165232872635897,,,ok
0.05,so,1,3.183648862367394,0.2861691955511455,0.988653310636255,0.9965951442718506,1.0000008344650269,ok
0.05,baseline_ppo,2,2.8758804602258534,0.2836150482843773,0.41555816179907196,,,ok
0.05,so,2,3.1352798545607525,0.28102028665864465,0.9871707395757767,0.9979116916656494,1.0000011920928955,ok
0.05,baseline_ppo,3,2.8413956041888038,0.28025110766876815,0.42350388095283054,,,ok
0.05,so,3,3.1439852155361727,0.28257315963393403,0.9878703257669258,0.9970635175704956,1.0000003576278687,ok
0.05,baseline_ppo,4,2.847891398417409,0.28047706263524297,0.42443537325825675,,,ok
0.05,so,4,3.1768621381255695,0.2856435194014076,0.9881290870726616,0.99677973985672,1.0000007152557373,ok
0.05,baseline_ppo,5,2.865576310612955,0.2829556638432489,0.41622945011476986,,,ok
0.05,so,5,3.0758231477027125,0.27526643717531374,0.9880103577889713,0.99658203125,1.000001072883606,ok
0.05,baseline_ppo,6,2.9303489805113765,0.2893753870989174,0.42874476819051777,,,ok
0.05,so,6,3.216519835569664,0.2902816877655285,0.9884720301882226,0.9971482753753662,1.0000007152557373,ok
0.05,baseline_ppo,7,2.880003962313275,0.2846698188393532,0.42046840435059496,,,ok
0.05,so,7,3.1437838973376517,0.28276523630589173,0.9864119065679915,0.9967641830444336,1.0000005960464478,ok
0.05,baseline_ppo,8,2.824042967856986,0.2785646849991754,0.4194144609497016,,,ok
0.05,so,8,3.1203184899063627,0.28014925378988853,0.9855158369646233,0.9966850876808167,1.0000009536743164,ok
0.05,baseline_ppo,9,2.8423224108223715,0.28072746404549387,0.41538621883109955,,,ok
0.05,so,9,3.14441455113803,0.28265953490271334,0.986746061984013,0.9974557757377625,1.0000011920928955,ok
0.1,baseline_ppo,0,2.9423596348819494,0.2833094806886991,0.42337906408474735,,,ok
0.1,so,0,3.512826493011386,0.2844520366761615,0.9874909922651568,0.9964253306388855,1.0000008344650269,ok
0.1,baseline_ppo,1,2.9139250880216347,0.2809971378106534,0.41287838034522795,,,ok
0.1,so,1,3.4884785769711804,0.2813947114414882,0.9887914630919112,0.9966212511062622,1.0000008344650269,ok
0.1,baseline_ppo,2,2.941082653361023,0.28421051885791215,0.4109886092090164,,,ok
0.1,so,2,3.501640641553583,0.28295581155809896,0.9871255720273439,0.9975696802139282,1.0000009536743164,ok
0.1,baseline_ppo,3,2.9429032936874675,0.284610270079533,0.41517079296281734,,,ok
0.1,so,3,3.5030378198863827,0.28374648381442447,0.9879294206588384,0.9975239634513855,1.0000009536743164,ok
0.1,baseline_ppo,4,2.9053121435806033,0.27908863797702643,0.42373232880172507,,,ok
0.1,so,4,3.5007514828740844,0.28307063945604305,0.9881905434613827,0.9967255592346191,1.000001072883606,ok
0.1,baseline_ppo,5,2.9180159421998106,0.28100917092590794,0.4205105715733225,,,ok
0.1,so,5,3.5079428257637923,0.28403349942885076,0.9879691483395618,0.9969449043273926,1.000001072883606,ok
0.1,baseline_ppo,6,2.981694375191853,0.2871562091381209,0.4313597196197406,,,ok
0.1,so,6,3.541503916572585,0.28784801212263195,0.988459315138698,0.9966812133789062,1.0000005960464478,ok
0.1,baseline_ppo,7,2.945046074062471,0.2838015818742463,0.4263532586681322,,,ok
0.1,so,7,3.539618316056651,0.2881302418034068,0.9864164497503225,0.9969630241394043,1.0000007152557373,ok
0.1,baseline_ppo,8,2.894174394984926,0.277732850825807,0.42757320551372685,,,ok
0.1,so,8,3.4740677148953183,0.28063106023032747,0.9854696391385005,0.9967564344406128,1.0000011920928955,ok
0.1,baseline_ppo,9,2.908361371601725,0.28034792408988274,0.41864023919260945,,,ok
0.1,so,9,3.448316132984617,0.2775838307542376,0.9867247893314925,0.9973358511924744,1.0000009536743164,ok
0.2,baseline_ppo,0,3.0846682353048527,0.27919698620208216,0.44206058598365416,,,ok
0.2,so,0,4.205354598399992,0.2839265997936352,0.9874659161901945,0.996171772480011,1.0000011920928955,ok
0.2,baseline_ppo,1,3.067975690916086,0.2819096457393139,0.42198822496629873,,,ok
0.2,so,1,4.1961403322604465,0.2822111357139769,0.9887486502724642,0.9968006610870361,1.0000011920928955,ok
0.2,baseline_ppo,2,3.079941470937048,0.27760000331411405,0.4453133766672181,,,ok
0.2,so,2,4.144750718334771,0.2761571339132611,0.9870081530020798,0.9974070191383362,1.0000005960464478,ok
0.2,baseline_ppo,3,3.082889658998306,0.2810634062535558,0.43522749831763574,,,ok
0.2,so,3,4.1770711405427,0.2805174647023835,0.9881607317951421,0.997425377368927,1.0000003576278687,ok
0.2,baseline_ppo,4,3.053086529372746,0.2773917349312861,0.4337062675530433,,,ok
0.2,so,4,4.16964793580137,0.279172509164625,0.988151221554358,0.9962567090988159,1.000001072883606,ok
0.2,baseline_ppo,5,3.059888943872852,0.280291504297865,0.42567880791229984,,,ok
0.2,so,5,4.16436964868784,0.2787842033346617,0.9880336110648387,0.9963642358779907,1.0000004768371582,ok
0.2,baseline_ppo,6,3.125620255642821,0.2845349211404399,0.4427870328527206,,,ok
0.2,so,6,4.197418337329728,0.2830462709566207,0.988448830202924,0.9970951080322266,1.0000009536743164,ok
0.2,baseline_ppo,7,3.0787506908827584,0.28135178121188464,0.43279516611864893,,,ok
