arm,seed,auc,auc_task,auc_geo,auc_recon,recon_err,final_return,threshold_crossing,median_spectral_radius,status
so(32),0,8.801884045656061,1.7590503913691002,7.042833654286962,8.801884045656061,0.0,10.036180781929238,,1.0000008344650269,ok
sl(32),0,8.184501048284487,1.9067834459212594,6.277717602363229,8.184501048284488,1.7763568394002505e-15,9.251582818700737,,2.3330941200256348,ok
sym(32),0,6.475581980207134,1.6398343235384123,4.835747656668723,6.475581980207135,8.881784197001252e-16,6.940616108316185,,2358.6973876953125,ok
gl(32),0,8.278825331682604,1.872740520788126,6.4060848108944795,8.278825331682604,0.0,9.355294084912012,,2.2688348293304443,ok
random(496),0,7.369824623036421,1.7836945569806162,5.586130066055805,7.369824623036421,0.0,7.832740571417856,,2.583206534385681,ok
baseline_ppo,0,6.468694921088812,2.229621770659061,4.23907315042975,6.468694921088812,0.0,7.449357955707868,,,ok
so(32),1,8.50207147352602,1.7370044694968145,6.765067004029205,8.502071473526021,1.7763568394002505e-15,9.488025381026267,,1.0000009536743164,ok
sl(32),1,8.100477059376962,1.7929740384285409,6.3075030209484195,8.100477059376962,0.0,8.954892159734126,,2.3274223804473877,ok
sym(32),1,6.6818420873155,1.7415462288999115,4.94029585841559,6.6818420873155,0.0,6.93304477730909,,1795.6810302734375,ok
gl(32),1,8.036882487156685,1.7638181339398737,6.273064353216812,8.036882487156687,1.7763568394002505e-15,8.918530770651753,,2.2248404026031494,ok
random(496),1,7.3806532572554335,1.6804649902931634,5.70018826696227,7.3806532572554335,0.0,7.4079577514929404,,3.542890429496765,ok
baseline_ppo,1,6.414925951869051,2.1085888629364566,4.306337088932594,6.4149259518690505,8.881784197001252e-16,7.722866872614618,,,ok
so(32),2,8.495980419333135,1.7345315132964199,6.761448906036716,8.495980419333135,0.0,9.48265434074366,,1.0000009536743164,ok
sl(32),2,8.111479683267635,1.8630297105459492,6.248449972721687,8.111479683267635,0.0,9.204671918573094,,1.8990415334701538,ok
sym(32),2,6.624023245861421,1.7090454768502865,4.914977769011134,6.624023245861421,0.0,6.670585486138684,,2294.561279296875,ok
gl(32),2,8.088104319815285,1.7461950428597104,6.341909276955575,8.088104319815285,0.0,9.316345196962779,,2.1828290224075317,ok
random(496),2,7.891946874776055,1.971597717296897,5.920349157479157,7.891946874776055,0.0,8.448511165303684,,3.29620361328125,ok
baseline_ppo,2,6.481804715438096,2.219098864086254,4.262705851351843,6.481804715438097,8.881784197001252e-16,7.86002836634276,,,ok
so(32),3,8.482135154322703,1.868976213213845,6.613158941108856,8.482135154322703,0.0,9.208364989220737,,1.0000008940696716,ok
sl(32),3,7.9708540070954585,1.5777416059896219,6.393112401105836,7.970854007095459,8.881784197001252e-16,9.20418683803764,,2.3779908418655396,ok
sym(32),3,6.6044423210148775,1.6470428919780764,4.9573994290368,6.6044423210148775,0.0,6.6851235252553955,,887.2445068359375,ok
gl(32),3,8.129411346481087,1.7290924071170073,6.400318939364082,8.129411346481087,0.0,9.254257257103523,,2.3694335222244263,ok
random(496),3,7.704629620062198,1.923248102893318,5.78138151716888,7.704629620062198,0.0,8.39031557555686,,3.5898945331573486,ok
baseline_ppo,3,6.503395465237937,2.2100376738942336,4.293357791343705,6.503395465237937,0.0,7.760223930224247,,,ok
so(32),4,8.890901023098523,1.951028253365997,6.939872769732525,8.890901023098523,0.0,9.55880447089398,,1.0000009536743164,ok
sl(32),4,8.10492017783574,1.8573630451175238,6.2475571327182156,8.10492017783574,0.0,8.844531201223553,,2.3071541786193848,ok
sym(32),4,6.5908384653183045,1.6630220489653178,4.927816416352988,6.5908384653183045,0.0,6.79166136145335,,3544.9443359375,ok
gl(32),4,7.977303745127228,1.741474855673941,6.235828889453288,7.977303745127228,0.0,9.066649262910158,,2.368736505508423,ok
random(496),4,7.582762688680365,1.874109532256176,5.708653156424191,7.582762688680365,0.0,8.583292041050388,,2.8114737272262573,ok
baseline_ppo,4,6.658981081208576,2.253160639700779,4.405820441507797,6.658981081208575,8.881784197001252e-16,7.635540434182551,,,ok
so(32),5,8.605070818353107,1.8600640587843065,6.7450067595688,8.605070818353107,0.0,9.478648119490114,,1.0000008344650269,ok
sl(32),5,8.215278132413442,1.9051809893403109,6.310097143073131,8.215278132413442,0.0,8.980756111735488,,3.0715036392211914,ok
sym(32),5,6.66273038131857,1.745823001005766,4.916907380312805,6.66273038131857,0.0,6.882673287514445,,2608.3427734375,ok
gl(32),5,8.06365624355262,1.7857214770955132,6.277934766457106,8.06365624355262,0.0,9.304385072087973,,2.81900954246521,ok
random(496),5,7.615173635656925,1.7488565845778,5.8663170510791245,7.615173635656925,0.0,8.5384295064988,,2.6763018369674683,ok
baseline_ppo,5,6.674923849939847,2.2661691654980625,4.408754684441786,6.674923849939847,0.0,7.427628200417152,,,ok
so(32),6,8.704917402439303,1.7582192133483656,6.946698189090938,8.704917402439303,0.0,9.368255325611011,,1.0000009536743164,ok
sl(32),6,7.895183810863577,1.57927572218111,6.315908088682468,7.895183810863577,0.0,8.82724146464764,,2.301239013671875,ok
sym(32),6,6.43696354115084,1.6774955954792614,4.759467945671577,6.43696354115084,0.0,6.587093890964278,,6995.798583984375,ok
gl(32),6,8.037140856418002,1.6875610683075968,6.349579788110405,8.037140856418002,0.0,8.799285804705798,,2.621732234954834,ok
random(496),6,7.559622371318368,1.722081510233807,5.837540861084562,7.559622371318368,0.0,7.966268201434783,,2.705281615257263,ok
baseline_ppo,6,6.49116823806936,2.055003120399384,4.436165117669974,6.49116823806936,0.0,7.416485564383746,,,ok
so(32),7,8.349938166251766,1.716580556070357,6.633357610181409,8.349938166251766,0.0,9.203557532123355,,1.0000009536743164,ok
sl(32),7,8.019965576790977,1.786210516206877,6.233755060584099,8.019965576790977,0.0,9.10761845437529,,2.3514819145202637,ok
sym(32),7,6.597860811038072,1.6932345437352905,4.904626267302783,6.597860811038072,0.0,6.704619182347334,,2580.814697265625,ok
gl(32),7,7.950913188692925,1.6867629166737181,6.264150272019208,7.950913188692925,0.0,9.220546096981904,,2.2444000244140625,ok
random(496),7,7.583314290455717,1.746399059121919,5.836915231333799,7.583314290455717,0.0,7.817301903372101,,3.1910887956619263,ok
baseline_ppo,7,6.436954608204192,2.14883050071309,4.288124107491101,6.436954608204192,0.0,7.451190397337793,,,ok
so(32),8,9.014900698889427,2.0230435779395304,6.9918571209499,9.014900698889427,0.0,10.123059241600233,,1.0000008344650269,ok
sl(32),8,8.329836975329691,1.8983470118404153,6.431489963489275,8.329836975329691,0.0,8.970029739168952,,2.039963722229004,ok
sym(32),8,6.680919918924655,1.8337378518540015,4.847182067070652,6.680919918924656,8.881784197001252e-16,6.271293457153764,,10018.369140625,ok
gl(32),8,8.13922648391173,1.7592117324480954,6.380014751463632,8.13922648391173,0.0,8.77255536844626,,2.2486438751220703,ok
random(496),8,7.597870471562758,1.8254189148704847,5.772451556692274,7.597870471562758,0.0,8.27636047954096,,3.302776575088501,ok
baseline_ppo,8,6.540013775730275,2.3256372204855262,4.2143765552447485,6.540013775730275,0.0,7.437586943414606,,,ok
so(32),9,8.709428865239808,1.8480330576189261,6.861395807620883,8.709428865239808,0.0,8.978439969140071,,1.0000009536743164,ok
sl(32),9,7.867877113704546,1.5986366989127418,6.2692404147918035,7.867877113704546,0.0,8.656228667740484,,2.41226065158844,ok
sym(32),9,6.6243226672470445,1.7384451425408207,4.885877524706226,6.6243226672470445,0.0,6.585232980895211,,2472.1917724609375,ok
gl(32),9,7.966783718840301,1.6677148916100653,6.2990688272302355,7.966783718840301,0.0,8.87463366245721,,2.224829912185669,ok
random(496),9,7.416318826270424,1.679706596760462,5.736612229509962,7.416318826270424,0.0,7.907756022535914,,2.8830487728118896,ok
baseline_ppo,9,6.397694755956924,2.123302614485245,4.274392141471679,6.397694755956924,0.0,7.529758938055641,,,ok
so(32),10,8.631084869336897,1.829629001906455,6.801455867430445,8.631084869336899,1.7763568394002505e-15,9.604832472078543,,1.0000009536743164,ok
sl(32),10,8.124402510275731,1.8247261440832545,6.299676366192476,8.124402510275731,0.0,9.189678776496185,,2.29772412776947,ok
sym(32),10,6.689904113488356,1.7364475466906626,4.953456566797694,6.689904113488356,0.0,6.761411695783785,,1870.2518310546875,ok
gl(32),10,8.218093206033782,1.937657603148297,6.280435602885486,8.218093206033782,0.0,9.271884963732798,,2.346723198890686,ok
random(496),10,7.391193094020495,1.7444698238755605,5.646723270144934,7.391193094020495,0.0,7.992595862912518,,2.906794786453247,ok
baseline_ppo,10,6.359721127279959,2.0354390866824614,4.324282040597498,6.359721127279959,0.0,6.940887783591198,,,ok
so(32),11,8.806788326738594,1.791724351637257,7.015063975101338,8.806788326738596,1.7763568394002505e-15,9.275270382312977,,1.0000008344650269,ok
sl(32),11,8.224887308301694,1.8654836663415457,6.3594036419601485,8.224887308301696,1.7763568394002505e-15,9.1200416199692,,2.558196783065796,ok
sym(32),11,6.386387682563498,1.625566837625142,4.760820844938357,6.386387682563499,8.881784197001252e-16,6.161051283118995,,14931.93359375,ok
gl(32),11,8.04971381190018,1.7072548639860865,6.3424589479140945,8.04971381190018,0.0,9.060920800416453,,2.3364723920822144,ok
random(496),11,7.514433574456196,1.8145460952417014,5.699887479214495,7.514433574456196,0.0,7.30432485223991,,2.8626447916030884,ok
baseline_ppo,11,6.627628450423592,2.2584998944008,4.369128556022793,6.627628450423595,2.6645352591003757e-15,7.654206387497797,,,ok
so(32),12,8.676411183535691,1.8168887536785372,6.859522429857154,8.676411183535691,0.0,9.128124395267918,,1.000001072883606,ok
sl(32),12,8.092169742808663,1.650548880150341,6.441620862658322,8.092169742808663,0.0,9.028274798083277,,2.2246185541152954,ok
sym(32),12,6.782088095828706,1.7631712457734474,5.018916850055258,6.782088095828706,0.0,6.396605048951545,,2271.9195556640625,ok
gl(32),12,8.233942148971337,1.864885546609538,6.369056602361798,8.233942148971336,1.7763568394002505e-15,9.139782272917865,,2.263745903968811,ok
random(496),12,7.323484363649727,1.6886531695778197,5.634831194071907,7.323484363649727,0.0,7.806914934241268,,3.2110787630081177,ok
baseline_ppo,12,6.447912235290271,2.095106243731043,4.352805991559227,6.447912235290271,0.0,7.5833406333782385,,,ok
so(32),13,8.8927099355878,1.7496253644155024,7.143084571172298,8.8927099355878,0.0,9.450701803827618,,1.0000008344650269,ok
sl(32),13,7.9991156048984395,1.7598420565710522,6.239273548327387,7.999115604898439,8.881784197001252e-16,9.553031799134489,,2.424789786338806,ok
sym(32),13,6.5768781033551305,1.740911356658921,4.83596674669621,6.57687810335513,8.881784197001252e-16,6.779311180636314,,13642.1845703125,ok
