arm,theta_lr,seed,auc,r_task,r_geo,rho,recon_err,status
baseline_ppo,,0,6.468694921088812,0.1888382065015251,0.5387519277841163,,0.0,ok
so,0.0003,0,7.058434053590499,0.16989814391525065,0.6417003622094479,1.000001072883606,0.0,ok
so,0.003,0,7.8663355713548695,0.14581730585439054,0.7794282206692114,1.0000008344650269,0.0,ok
so,0.01,0,8.148911273643025,0.14057944181205764,0.8225197045369074,1.0000008344650269,0.0,ok
so,0.03,0,8.801884045656061,0.14927651753457025,0.8923004203623781,1.0000008344650269,0.0,ok
so,0.1,0,8.359119078208186,0.14803034929707665,0.8382907951849823,1.0000009536743164,0.0,ok
sl,0.0003,0,6.611199223951781,0.15801186433655615,0.6032249949040512,3.965783476829529,8.881784197001252e-16,ok
sl,0.003,0,7.464997361789455,0.15303001397497557,0.7178376288811674,2.2321358919143677,0.0,ok
sl,0.01,0,7.967583952459834,0.1624507378960582,0.766972722510621,2.120762348175049,0.0,ok
sl,0.03,0,8.184501048284487,0.16148054078677626,0.7959898502966389,2.3330941200256348,1.7763568394002505e-15,ok
sl,0.1,0,7.270826971203288,0.1679024121727845,0.6705259914379723,25.401386260986328,8.881784197001252e-16,ok
gl,0.0003,0,6.865155473999514,0.17642403267360868,0.6072008078672302,3.9101271629333496,8.881784197001252e-16,ok
gl,0.003,0,7.576854649495318,0.163198941570311,0.7166472326498791,2.2350744009017944,8.881784197001252e-16,ok
gl,0.01,0,7.95061575997269,0.1565700321034831,0.7736203942092755,2.1048295497894287,0.0,ok
gl,0.03,0,8.278825331682604,0.15859031063700604,0.8122173871461924,2.2688348293304443,0.0,ok
gl,0.1,0,7.235641127755157,0.14256304333807393,0.7043172015489699,15.09664011001587,0.0,ok
sym,0.0003,0,6.745787613702152,0.16782922488870627,0.6052364595806536,10.079730033874512,8.881784197001252e-16,ok
sym,0.003,0,7.249141575992339,0.16573136375435032,0.6714924669815228,17.981032371520996,0.0,ok
sym,0.01,0,6.65966730290609,0.14661623709663105,0.6252596466594221,129.73146057128906,8.881784197001252e-16,ok
sym,0.03,0,6.475581980207134,0.13886695711345406,0.614092701317463,2358.6973876953125,8.881784197001252e-16,ok
sym,0.1,0,6.440894510169289,0.1459118976894977,0.5990748956506916,193965.3671875,0.0,ok
baseline_ppo,,1,6.414925951869051,0.17890876808510978,0.5474137968316984,,8.881784197001252e-16,ok
so,0.0003,1,6.79367627899512,0.15512251052894308,0.6305559533945595,1.000001072883606,0.0,ok
so,0.003,1,7.956174211643248,0.15682757016753818,0.773841678197061,1.0000010132789612,8.881784197001252e-16,ok
so,0.01,1,8.604752377931524,0.1601798915496544,0.8509797642633942,1.000001072883606,0.0,ok
so,0.03,1,8.50207147352602,0.14746249236952594,0.8571338028396791,1.0000009536743164,1.7763568394002505e-15,ok
so,0.1,1,8.51169125842603,0.14774587605062375,0.857439942296408,1.0000009536743164,0.0,ok
sl,0.0003,1,6.54073447317336,0.16369843464125708,0.5860667963382789,3.747490167617798,0.0,ok
sl,0.003,1,7.51139588180486,0.15600139703975233,0.7195937749060494,2.5091394186019897,0.0,ok
sl,0.01,1,7.85508072824123,0.15323275448513823,0.7673049678711841,2.1089706420898438,8.881784197001252e-16,ok
sl,0.03,1,8.100477059376962,0.1520153968402577,0.7995386067653075,2.3274223804473877,0.0,ok
sl,0.1,1,7.44445149255681,0.1648687398912392,0.6970287071382317,17.607812881469727,0.0,ok
gl,0.0003,1,6.348468530725885,0.15511406351142398,0.5748991991591794,3.54765248298645,0.0,ok
gl,0.003,1,7.348457237387857,0.14727137135497623,0.7122273005121234,2.479614734649658,8.881784197001252e-16,ok
gl,0.01,1,7.877297396857273,0.15218942885983872,0.7716084390212471,1.8664299249649048,0.0,ok
gl,0.03,1,8.036882487156685,0.14954079771044748,0.7952610479947491,2.2248404026031494,1.7763568394002505e-15,ok
gl,0.1,1,7.325863193156761,0.14062741721733088,0.7192965189540759,10.375419616699219,0.0,ok
sym,0.0003,1,6.711398343286357,0.1643056032655312,0.6067629436620046,10.02059030532837,0.0,ok
sym,0.003,1,6.943993598259776,0.14892763937445547,0.6588767241138965,17.749149322509766,0.0,ok
sym,0.01,1,6.646872114475227,0.14337948366240724,0.6288433971189273,81.01898574829102,8.881784197001252e-16,ok
sym,0.03,1,6.6818420873155,0.1476629124569594,0.6268375161974226,1795.6810302734375,0.0,ok
sym,0.1,1,6.800358976914107,0.14898699618013156,0.6399963700885885,14229.09619140625,8.881784197001252e-16,ok
baseline_ppo,,2,6.481804715438096,0.18803803511972347,0.5420253044457174,,8.881784197001252e-16,ok
so,0.0003,2,6.902888395393958,0.14657802168067094,0.6572618259715227,1.0000011920928955,8.881784197001252e-16,ok
so,0.003,2,8.072413793534174,0.1616856844049043,0.781765296135998,1.0000011920928955,1.7763568394002505e-15,ok
so,0.01,2,8.664895253909576,0.1621792454267664,0.8559316120982171,1.0000009536743164,0.0,ok
so,0.03,2,8.495980419333135,0.14716708351625557,0.8570267513157801,1.0000009536743164,0.0,ok
so,0.1,2,8.504709597817397,0.14491648907510724,0.8609821061751494,1.0000010132789612,0.0,ok
sl,0.0003,2,6.768097478518635,0.15708570627404822,0.6244131439861531,5.193638324737549,0.0,ok
sl,0.003,2,7.482679171716074,0.15044818650785363,0.7245672906375489,2.591782569885254,8.881784197001252e-16,ok
sl,0.01,2,7.856490110021211,0.15459285307708587,0.765036955671571,2.2855405807495117,0.0,ok
sl,0.03,2,8.111479683267635,0.15791057080693652,0.7926079937238867,1.8990415334701538,0.0,ok
sl,0.1,2,7.5095462333927765,0.17133890472978608,0.6962038005216357,28.016703605651855,1.7763568394002505e-15,ok
gl,0.0003,2,6.780907243397937,0.15753440247265965,0.625687905176822,4.599820852279663,0.0,ok
gl,0.003,2,7.408699809015355,0.14231569810677502,0.7270303836500893,2.5209572315216064,1.7763568394002505e-15,ok
gl,0.01,2,8.027930219769537,0.1623411825100565,0.7761117332681393,2.1064943075180054,1.7763568394002505e-15,ok
gl,0.03,2,8.088104319815285,0.1482777910564497,0.8042464515111719,2.1828290224075317,0.0,ok
gl,0.1,2,7.276459961997206,0.15199950866397585,0.6964178386759946,15.72418737411499,0.0,ok
sym,0.0003,2,6.66767007527684,0.16299613438296456,0.6027732059798357,15.026966571807861,0.0,ok
sym,0.003,2,6.938446084059811,0.15558454009969183,0.6476223819411049,22.769639015197754,8.881784197001252e-16,ok
sym,0.01,2,6.877579317298481,0.16785879613792296,0.6209139345960693,180.6747589111328,8.881784197001252e-16,ok
sym,0.03,2,6.624023245861421,0.14468119655467931,0.6236474651374387,2294.561279296875,0.0,ok
sym,0.1,2,6.326201907525643,0.12138660301181217,0.6216065086978798,99044.52734375,0.0,ok
baseline_ppo,,3,6.503395465237937,0.18732089477923466,0.545852695877136,,0.0,ok
so,0.0003,3,6.853995033989603,0.15277631357353955,0.6416986939518712,1.000001072883606,0.0,ok
so,0.003,3,7.945432040574923,0.15385127619904093,0.7774812373950767,1.0000008940696716,0.0,ok
so,0.01,3,8.470513734146044,0.14620490469594158,0.8549053101929835,1.0000008344650269,0.0,ok
so,0.03,3,8.482135154322703,0.15851171304932424,0.8379569599770942,1.0000008940696716,0.0,ok
so,0.1,3,8.612954742228444,0.14648397881620434,0.8723039282348938,1.0000009536743164,0.0,ok
sl,0.0003,3,6.87383669242485,0.16755968396445275,0.6224805502287422,4.693830251693726,0.0,ok
sl,0.003,3,7.565202786489865,0.15093431732031898,0.7343628784599094,2.4978442192077637,8.881784197001252e-16,ok
sl,0.01,3,7.88421559812895,0.14457125652344066,0.7838865469748465,2.1137760877609253,0.0,ok
sl,0.03,3,7.9708540070954585,0.13402424444872876,0.8106862342976965,2.3779908418655396,8.881784197001252e-16,ok
sl,0.1,3,6.957235872163647,0.14397974720138373,0.6671173423138758,21.47505474090576,8.881784197001252e-16,ok
gl,0.0003,3,6.522830687821623,0.14595323001518173,0.6106435454115272,4.297844886779785,8.881784197001252e-16,ok
gl,0.003,3,7.598779485109316,0.15166891122112827,0.7368959650499125,2.4831451177597046,0.0,ok
gl,0.01,3,8.110786748394244,0.16254164014762879,0.7857135606299155,2.3104699850082397,0.0,ok
gl,0.03,3,8.129411346481087,0.1466261723863929,0.8116551663977716,2.3694335222244263,0.0,ok
gl,0.1,3,7.014918338202991,0.15425719377128339,0.6593513452963593,52.94662666320801,0.0,ok
sym,0.0003,3,6.83613734903196,0.16448608680378074,0.6222133084073663,12.329378604888916,1.7763568394002505e-15,ok
sym,0.003,3,6.965454589403379,0.14989528645565608,0.660068184801874,16.543848037719727,8.881784197001252e-16,ok
sym,0.01,3,6.889322446255673,0.150229857776758,0.6497883366721372,70.15849685668945,0.0,ok
sym,0.03,3,6.6044423210148775,0.1395117051222091,0.6292577000643594,887.2445068359375,0.0,ok
sym,0.1,3,6.658834546722937,0.14464856090530176,0.6283673568034854,37388.435546875,0.0,ok
baseline_ppo,,4,6.658981081208576,0.1907717880093884,0.5599834830638332,,8.881784197001252e-16,ok
so,0.0003,4,6.8739969262271625,0.17534271396545134,0.6107118086427916,1.0000010132789612,0.0,ok
so,0.003,4,8.000650785745359,0.16772026485042293,0.7637861901253152,1.0000008940696716,0.0,ok
so,0.01,4,8.393843040560188,0.1644351509948285,0.8180992280236137,1.0000008344650269,0.0,ok
so,0.03,4,8.890901023098523,0.16530894888930878,0.8792396494646867,1.0000009536743164,0.0,ok
so,0.1,4,8.666094814117127,0.15637373575711827,0.8639495361667747,1.0000008344650269,1.7763568394002505e-15,ok
sl,0.0003,4,6.740144089319063,0.16095738103083576,0.6148571875074256,3.9113258123397827,8.881784197001252e-16,ok
sl,0.003,4,7.7783898283322355,0.17218983455947742,0.7286648263044654,2.4257125854492188,0.0,ok
sl,0.01,4,7.761523026033566,0.14706787144614766,0.7635192973588282,2.0681352615356445,0.0,ok
sl,0.03,4,8.10492017783574,0.15700960229790298,0.7922147050444657,2.3071541786193848,0.0,ok
sl,0.1,4,6.917326049090258,0.17219511422131237,0.6190915955522096,10382501376.0,0.0,ok
gl,0.0003,4,6.757755031123525,0.16216246674661747,0.6151934294295496,4.099853515625,0.0,ok
gl,0.003,4,7.557489442993964,0.15800468672336937,0.7218810649268639,2.496953010559082,0.0,ok
gl,0.01,4,7.968099150204935,0.1617889940601836,0.7679887123524212,2.2920639514923096,8.881784197001252e-16,ok
gl,0.03,4,7.977303745127228,0.1474972144172675,0.7907626056884415,2.368736505508423,0.0,ok
gl,0.1,4,6.96924352716635,0.15672301435561736,0.6498289114375289,39.93610954284668,0.0,ok
sym,0.0003,4,6.467788827679502,0.15940225104515499,0.5830825955441377,12.22593069076538,0.0,ok
sym,0.003,4,6.836876544107444,0.14840060783194925,0.6455631759956635,18.777113914489746,8.881784197001252e-16,ok
sym,0.01,4,6.667075369621042,0.14524663933361964,0.6280131531536579,167.64441680908203,0.0,ok
sym,0.03,4,6.5908384653183045,0.14077397744802708,0.625246971844416,3544.9443359375,0.0,ok
sym,0.1,4,6.726171574638517,0.1457082484278351,0.6345699930378237,72114.5390625,0.0,ok
baseline_ppo,,5,6.674923849939847,0.19191242380989923,0.5601332676424334,,0.0,ok
so,0.0003,5,6.764969500864172,0.16923438264551252,0.6061913993049955,1.000001072883606,8.881784197001252e-16,ok
so,0.003,5,7.8228743742678795,0.1529101609544527,0.7636058633612625,1.0000009536743164,0.0,ok
so,0.01,5,8.181747102490727,0.16137113895614041,0.7956349937881654,1.0000009536743164,0.0,ok
so,0.03,5,8.605070818353107,0.15769487695681375,0.8545766127337391,1.0000008344650269,0.0,ok
so,0.1,5,8.649091546284021,0.14918210979120045,0.8729128570943451,1.0000009536743164,0.0,ok
sl,0.0003,5,6.861228556887385,0.17208647506523786,0.6136524364431234,4.449536323547363,0.0,ok
sl,0.003,5,7.361004464931513,0.14565727390026345,0.7161839417111128,2.39594829082489,0.0,ok
sl,0.01,5,7.986163349560561,0.16015547238213243,0.7732774059409896,2.0751792192459106,0.0,ok
sl,0.03,5,8.215278132413442,0.16118503697119416,0.8000435379026456,3.0715036392211914,0.0,ok
sl,0.1,5,7.042639718471089,0.15924033341566537,0.6553008924015798,59.67754364013672,8.881784197001252e-16,ok
gl,0.0003,5,6.58611560398131,0.1583689410086435,0.5997688774868071,4.889143466949463,0.0,ok
gl,0.003,5,7.442646026365823,0.14744551509282594,0.7238083272157082,2.5906485319137573,8.881784197001252e-16,ok
gl,0.01,5,7.878545131484867,0.15019821246549972,0.774676750420127,2.1693074703216553,0.0,ok
gl,0.03,5,8.06365624355262,0.1515281226273194,0.7959211520718102,2.81900954246521,0.0,ok
gl,0.1,5,7.001597465786941,0.1565995570496502,0.6534677267267214,154.92945861816406,0.0,ok
sym,0.0003,5,6.923408830696526,0.17236471018967423,0.6214815232535202,11.94795036315918,0.0,ok
sym,0.003,5,7.15121416122898,0.161869689160574,0.6654904193101141,18.52703094482422,0.0,ok
sym,0.01,5,6.871417618663219,0.15209683448461234,0.6441924876354325,97.16494369506836,8.881784197001252e-16,ok
sym,0.03,5,6.66273038131857,0.14793780167850454,0.6239548867976602,2608.3427734375,0.0,ok
sym,0.1,5,6.617302131146525,0.14310004234724932,0.6258514595526736,151669.875,0.0,ok
baseline_ppo,,6,6.49116823806936,0.1743520928696093,0.563612123193716,,0.0,ok
so,0.0003,6,7.090508488622295,0.1548287326032867,0.6685243223177267,1.0000009536743164,8.881784197001252e-16,ok
so,0.003,6,8.446446564439274,0.16889902079564012,0.8183536910776049,1.0000011920928955,0.0,ok
so,0.01,6,8.602460772684152,0.15775292807690333,0.8544749436783293,1.0000009536743164,0.0,ok
so,0.03,6,8.704917402439303,0.14905002795980934,0.8805058782765641,1.0000009536743164,0.0,ok
so,0.1,6,8.453457399520076,0.1457922841363857,0.8535263821346687,1.0000008940696716,0.0,ok
sl,0.0003,6,6.757094995188008,0.16513776861677645,0.6105298900050733,4.815681457519531,0.0,ok
sl,0.003,6,7.584192264925563,0.15212119686338443,0.7346017179744319,2.4853583574295044,0.0,ok
sl,0.01,6,8.07850322726437,0.15939277582652356,0.7859230409343415,1.8079407215118408,0.0,ok
sl,0.03,6,7.895183810863577,0.1339713635083854,0.8009494482538043,2.301239013671875,0.0,ok
sl,0.1,6,7.090526392703806,0.13728166408727518,0.6942539381513373,23.42106819152832,0.0,ok
gl,0.0003,6,6.683293012445,0.15449264610908905,0.6173052993991414,4.885946750640869,0.0,ok
gl,0.003,6,7.550785857071489,0.1470065101512891,0.7383397561031705,2.649184465408325,0.0,ok
gl,0.01,6,7.884858755913543,0.1500206082601337,0.7756977493168165,1.956901490688324,0.0,ok
gl,0.03,6,8.037140856418002,0.1430350371640257,0.8050985487982475,2.621732234954834,0.0,ok
gl,0.1,6,7.43109719154833,0.17080129697553775,0.6871762165229923,31.33078098297119,0.0,ok
sym,0.0003,6,6.413766556053129,0.15031491485940038,0.5898831116988787,14.690718650817871,8.881784197001252e-16,ok
sym,0.003,6,6.8413341093949045,0.1558045693167592,0.6353197343211623,26.217790603637695,8.881784197001252e-16,ok
sym,0.01,6,6.556084041071023,0.1516058103113687,0.6052121905128005,318.5743713378906,0.0,ok
sym,0.03,6,6.43696354115084,0.14228167910954131,0.6039465481753461,6995.798583984375,0.0,ok
sym,0.1,6,6.303915281013567,0.1351715665810884,0.5978317398054526,637299.5,1.7763568394002505e-15,ok
baseline_ppo,,7,6.436954608204192,0.18192012962026818,0.5452376041238196,,0.0,ok
so,0.0003,7,7.048447383504901,0.15473702861547942,0.6637344144918645,1.0000009536743164,0.0,ok
