subspace,n,m,B,radius,lambda_max,bound,ratio,B_eff,ratio_eff,kind,random_dir_lambda_max,random_dir_ratio_eff
so,32,2.0,0.5,0.01,0.056662734541596343,0.25,0.22665093816638537,0.3489164376882943,0.46543031838923976,random_features,,
so,32,2.0,0.5,0.1,0.056662734536112674,0.25,0.2266509381444507,0.3489164376882943,0.4654303183441967,random_features,,
so,32,2.0,0.5,1.0,0.05666273398774514,0.25,0.22665093595098057,0.3489164376882943,0.4654303138398804,random_features,,
so,32,2.0,0.5,10.0,0.05666267915102918,0.25,0.22665071660411673,0.3489164376882943,0.465429863408563,random_features,,
so,32,2.0,0.5,100.0,0.05665719583674793,0.25,0.2266287833469917,0.3489164376882943,0.46538482321181995,random_features,,
so,32,2.0,0.5,1000.0,0.05611241786955694,0.25,0.22444967147822775,0.3489164376882943,0.460909991829741,random_features,,
so,32,2.0,0.5,10000.0,0.024208312754320577,0.25,0.09683325101728231,0.3489164376882943,0.19884819898055506,random_features,,
sym,32,2.0,0.5,0.01,0.06836789564481816,0.25,0.2734715825792726,0.3587120514975609,0.5313250320831839,random_features,,
sym,32,2.0,0.5,0.1,0.06836789561422674,0.25,0.27347158245690695,0.3587120514975609,0.531325031845441,random_features,,
sym,32,2.0,0.5,1.0,0.06836789255508083,0.25,0.2734715702203233,0.3587120514975609,0.5313250080711127,random_features,,
sym,32,2.0,0.5,10.0,0.06836758664141182,0.25,0.2734703465656473,0.3587120514975609,0.5313226306454443,random_features,,
sym,32,2.0,0.5,100.0,0.06833700448888616,0.25,0.27334801795554464,0.3587120514975609,0.5310849596886507,random_features,,
sym,32,2.0,0.5,1000.0,0.06536862734494822,0.25,0.2614745093797929,0.3587120514975609,0.5080160460360866,random_features,,
sym,32,2.0,0.5,10000.0,0.0037847971441912027,0.25,0.01513918857676481,0.3587120514975609,0.029413768627792356,random_features,,
sl,32,2.0,0.5,0.01,0.12471685027841506,0.25,0.49886740111366024,0.499899878733909,0.4990672500822961,random_features,,
sl,32,2.0,0.5,0.1,0.12471685024674616,0.25,0.4988674009869846,0.499899878733909,0.4990672499555697,random_features,,
sl,32,2.0,0.5,1.0,0.12471684707985561,0.25,0.49886738831942246,0.499899878733909,0.4990672372829329,random_features,,
sl,32,2.0,0.5,10.0,0.12471653039134015,0.25,0.4988661215653606,0.499899878733909,0.4990659700214025,random_features,,
sl,32,2.0,0.5,100.0,0.12468486695365871,0.25,0.49873946781463485,0.499899878733909,0.49893926553250184,random_features,,
sl,32,2.0,0.5,1000.0,0.12157188532331129,0.25,0.48628754129324514,0.499899878733909,0.48648235070226037,random_features,,
sl,32,2.0,0.5,10000.0,0.01872022031802581,0.25,0.07488088127210324,0.499899878733909,0.07491087895657685,random_features,,
gl,32,2.0,0.5,0.01,0.1250306301838715,0.25,0.500122520735486,0.49999999999999983,0.5001225207354864,random_features,,
gl,32,2.0,0.5,0.1,0.12503062989603458,0.25,0.5001225195841383,0.49999999999999983,0.5001225195841387,random_features,,
gl,32,2.0,0.5,1.0,0.12503060111234848,0.25,0.5001224044493939,0.49999999999999983,0.5001224044493943,random_features,,
gl,32,2.0,0.5,10.0,0.12502772278835617,0.25,0.5001108911534247,0.49999999999999983,0.500110891153425,random_features,,
gl,32,2.0,0.5,100.0,0.12474033597241851,0.25,0.49896134388967406,0.49999999999999983,0.4989613438896744,random_features,,
gl,32,2.0,0.5,1000.0,0.0999340475524165,0.25,0.399736190209666,0.49999999999999983,0.3997361902096663,random_features,,
gl,32,2.0,0.5,10000.0,3.2395829160982655e-05,0.25,0.00012958331664393062,0.49999999999999983,0.0001295833166439307,random_features,,
so,32,2.0,1.0,0.01,0.22977510983065402,1.0,0.22977510983065402,0.7079056340001765,0.4585136243025397,random_features,,
so,32,2.0,1.0,0.1,0.229775109735379,1.0,0.229775109735379,0.7079056340001765,0.4585136241124195,random_features,,
so,32,2.0,1.0,1.0,0.22977510020788183,1.0,0.22977510020788183,0.7079056340001765,0.458513605100407,random_features,,
so,32,2.0,1.0,10.0,0.22977414746081676,1.0,0.22977414746081676,0.7079056340001765,0.4585117039044499,random_features,,
