param,n,dim,radius,lambda_lanczos,lambda_full,bound,proj_was_identity
algebra,4,6,0.0,0.3160751228241329,0.3160750987428023,1.0,
ambient,4,16,0.0,0.3160751228232831,0.3160750867308628,1.0,True
algebra,4,6,0.5,0.30826588603977684,0.3082657917711018,1.0,
ambient,4,16,0.5,0.3209080357740062,0.32090780891704984,1.0,False
algebra,4,6,2.0,0.46292214599295123,0.46292225222145655,1.0,
ambient,4,16,2.0,0.30641492649318397,0.30641518730331907,1.0,False
algebra,4,6,10.0,0.20913270472320303,0.2091327113709585,1.0,
ambient,4,16,10.0,0.2755940208707128,0.27559426193134223,1.0,False
algebra,4,6,100.0,0.09281454989011853,0.09281514474867994,1.0,
ambient,4,16,100.0,0.27746141159048887,0.2774599012664239,1.0,False
algebra,8,28,0.0,0.2561403603762329,0.256140417291441,1.0,
ambient,8,64,0.0,0.25614036037598764,0.2561404660688018,1.0,True
algebra,8,28,0.5,0.2674541508763811,0.26745408998344816,1.0,
ambient,8,64,0.5,0.2590864138911328,0.25908665543334475,1.0,False
algebra,8,28,2.0,0.31653169995359803,0.31653177836364677,1.0,
ambient,8,64,2.0,0.26278711589999104,0.2627871083644224,1.0,False
algebra,8,28,10.0,0.2825899897856877,0.28258972610508215,1.0,
ambient,8,64,10.0,0.31609301113305166,0.3160931122206283,1.0,False
algebra,8,28,100.0,0.1025641446718403,0.10256393761677116,1.0,
ambient,8,64,100.0,0.1637957804588365,0.1637957324221963,1.0,False
algebra,16,120,0.0,0.2680012619021114,0.26800132431967144,1.0,
ambient,16,256,0.0,0.26800126190809576,,1.0,True
algebra,16,120,0.5,0.2666983090806674,0.2666983075195446,1.0,
ambient,16,256,0.5,0.2648201672586961,,1.0,False
algebra,16,120,2.0,0.2827564647938526,0.2827564813344893,1.0,
ambient,16,256,2.0,0.27622371202822427,,1.0,False
algebra,16,120,10.0,0.321769635404047,0.3217696840696087,1.0,
ambient,16,256,10.0,0.29241420191443046,,1.0,False
algebra,16,120,100.0,0.06039885051070647,0.06039842905224897,1.0,
ambient,16,256,100.0,0.17153720129647745,,1.0,False
algebra,32,496,0.0,0.3240438501733272,,1.0,
ambient,32,1024,0.0,0.32404385017304815,,1.0,True
algebra,32,496,0.5,0.32912696458862445,,1.0,
ambient,32,1024,0.5,0.3237208974131148,,1.0,False
algebra,32,496,2.0,0.30881667824943165,,1.0,
ambient,32,1024,2.0,0.329674967400463,,1.0,False
algebra,32,496,10.0,0.2731175987618697,,1.0,
ambient,32,1024,10.0,0.2707462595990412,,1.0,False
algebra,32,496,100.0,0.08789142330811381,,1.0,
ambient,32,1024,100.0,0.14142905111927437,,1.0,False
algebra,64,2016,0.0,0.3069792967635573,,1.0,
ambient,64,4096,0.0,0.30697929676273245,,1.0,True
algebra,64,2016,0.5,0.3039039262258634,,1.0,
ambient,64,4096,0.5,0.306883965443934,,1.0,False
algebra,64,2016,2.0,0.3049560294899719,,1.0,
ambient,64,4096,2.0,0.30950538977140296,,1.0,False
algebra,64,2016,10.0,0.3275992838859088,,1.0,
ambient,64,4096,10.0,0.30056672147062835,,1.0,False
algebra,64,2016,100.0,0.08183763730859629,,1.0,
ambient,64,4096,100.0,0.1281933132886422,,1.0,False
