kind,obj,eta_mult,init,T,min_grad_sq,bound,slack,rho_predicted,rho_empirical_1step,grows,predicted_grows,err
rate,quadratic,0.1,0.0,10,41.65899192398957,126.81080030214473,3.044019896917381,,,,,
rate,quadratic,0.1,0.0,100,0.16330407735919156,12.681080030214472,77.65317458866693,,,,,
rate,quadratic,0.1,0.0,1000,0.0008267689073313439,1.2681080030214473,1533.8119174252256,,,,,
rate,quadratic,0.1,0.0,10000,1.3366519418071695e-13,0.12681080030214473,948719680388.1122,,,,,
rate,quadratic,0.1,0.0,20000,1.8276461481761837e-24,0.06340540015107236,3.469238299456648e+22,,,,,
rate,quadratic,0.1,1.0,10,41.369432067938035,126.87325611922081,3.066835820005119,,,,,
rate,quadratic,0.1,1.0,100,0.23562884870830325,12.68732561192208,53.844534238795,,,,,
rate,quadratic,0.1,1.0,1000,0.001145090816556887,1.268732561192208,1107.9754922907275,,,,,
rate,quadratic,0.1,1.0,10000,1.8745486501910268e-13,0.12687325611922082,676820290080.4508,,,,,
rate,quadratic,0.1,1.0,20000,2.563138732825441e-24,0.06343662805961041,2.4749588169845924e+22,,,,,
rate,quadratic,0.1,2.0,10,44.80950767587194,135.1618233345058,3.016364837395543,,,,,
rate,quadratic,0.1,2.0,100,0.16036148448515508,13.51618233345058,84.28571472036849,,,,,
rate,quadratic,0.1,2.0,1000,0.0012536624446067887,1.351618233345058,1078.1356968613613,,,,,
rate,quadratic,0.1,2.0,10000,1.8703242864290698e-13,0.1351618233345058,722665177986.6715,,,,,
rate,quadratic,0.1,2.0,20000,2.558156178484875e-24,0.0675809116672529,2.6417820864744543e+22,,,,,
rate,quadratic,0.1,3.0,10,50.36780499524061,152.10034057240256,3.019792913087535,,,,,
rate,quadratic,0.1,3.0,100,0.16288735743506483,15.210034057240255,93.3776217918186,,,,,
rate,quadratic,0.1,3.0,1000,0.001835135353775001,1.5210034057240256,828.8235538567855,,,,,
rate,quadratic,0.1,3.0,10000,2.636125538236425e-13,0.15210034057240257,576984435552.1782,,,,,
rate,quadratic,0.1,3.0,20000,3.604432103658089e-24,0.07605017028620129,2.1099071392971726e+22,,,,,
rate,quadratic,0.1,4.0,10,44.83069295606471,133.8118574620765,2.984826881735148,,,,,
rate,quadratic,0.1,4.0,100,0.1011111838114343,13.381185746207647,132.34130233469205,,,,,
rate,quadratic,0.1,4.0,1000,0.001608664472125553,1.3381185746207647,831.819560764395,,,,,
rate,quadratic,0.1,4.0,10000,2.347470541573542e-13,0.13381185746207647,570025715306.2313,,,,,
rate,quadratic,0.1,4.0,20000,3.209484792141377e-24,0.06690592873103823,2.084631430404704e+22,,,,,
rate,quadratic,0.1,5.0,10,34.536336223278084,101.12484145856408,2.9280709107297893,,,,,
rate,quadratic,0.1,5.0,100,0.10977377343224039,10.112484145856406,92.1211308464175,,,,,
rate,quadratic,0.1,5.0,1000,0.0013430437533075194,1.0112484145856406,752.9526957667872,,,,,
rate,quadratic,0.1,5.0,10000,2.236941381465403e-13,0.10112484145856407,452067462725.90283,,,,,
rate,quadratic,0.1,5.0,20000,3.0590561781473375e-24,0.050562420729282034,1.6528765012711947e+22,,,,,
rate,quadratic,0.1,6.0,10,48.68012760737112,143.5091680654046,2.948003119935834,,,,,
rate,quadratic,0.1,6.0,100,0.11522816420623756,14.350916806540459,124.54348210264736,,,,,
rate,quadratic,0.1,6.0,1000,0.0015484887608672151,1.435091680654046,926.7691938883287,,,,,
rate,quadratic,0.1,6.0,10000,2.2509609876872655e-13,0.1435091680654046,637546225147.3851,,,,,
